# License GPL
#
# - modified hankaku kana to zenkaku kana
# - added basic japanese letters
# by M.Ohtsuka(mash)
# 
# Modified by mattn

##
## This file should use UTF-8 encoding
##
## User dictionary format:
## <text>,<text>,<reading>,<part-of-speech>
## or
## <text>,<token1> <token2> ... <tokenn>,<reading1> <reading2> ... <readingn>,<part-of-speech>
##

Yummy,Yummy,ヤミー,カスタム名詞
Yumashev,Yumashev,ユマシェフ,カスタム名詞
Yum,Yum,ヤム,カスタム名詞
Yukon,Yukon,ユーコン,カスタム名詞
Yuko,Yuko,ユーコ,カスタム名詞
Yuji,Yuji,ユウジ,カスタム名詞
Yuichi,Yuichi,ユーイチ,カスタム名詞
Yugoslavian,Yugoslavian,ユーゴスラビアン,カスタム名詞
Yugoslavia,Yugoslavia,ユーゴスラビア,カスタム名詞
Yugoslav,Yugoslav,ユーゴスラブ,カスタム名詞
Yuck,Yuck,ヤック,カスタム名詞
Yucatan,Yucatan,ユカタン,カスタム名詞
Yubin,Yubin,ユービン,カスタム名詞
Yuan,Yuan,ユーアン,カスタム名詞
Yowling,Yowling,ヤウリング,カスタム名詞
Yowl,Yowl,ヤウル,カスタム名詞
Youthes,Youthes,ユーシイズ,カスタム名詞
Youth,Youth,ユース,カスタム名詞
Yourselves,Yourselves,ユアセルブズ,カスタム名詞
Yourself,Yourself,ユアセルフ,カスタム名詞
Yours,Yours,ユアーズ,カスタム名詞
Your,Your,ユア,カスタム名詞
Youngster,Youngster,ヤングスター,カスタム名詞
Youngest,Youngest,ヤンゲスト,カスタム名詞
Younger,Younger,ヤンガー,カスタム名詞
Young,Young,ヤング,カスタム名詞
You've,You've,ユーブ,カスタム名詞
You're,You're,ユーアー,カスタム名詞
You'll,You'll,ユール,カスタム名詞
You'd,You'd,ユード,カスタム名詞
You,You,ユー,カスタム名詞
Yorker,Yorker,ヨーカー,カスタム名詞
York,York,ヨーク,カスタム名詞
Yore,Yore,ヨア,カスタム名詞
Yongmin,Yongmin,ヤンミン,カスタム名詞
Yongish,Yongish,ヤンギシュ,カスタム名詞
Yomail,Yomail,ヨメイル,カスタム名詞
Yolk,Yolk,ヨーク,カスタム名詞
Yoko,Yoko,ヨーコ,カスタム名詞
Yokel,Yokel,ヨウケル,カスタム名詞
Yoke,Yoke,ヨウク,カスタム名詞
Yohannes,Yohannes,ヨハネス,カスタム名詞
Yogurt,Yogurt,ヨーガート,カスタム名詞
Yogism,Yogism,ヨウギズム,カスタム名詞
Yogic,Yogic,ヨウギク,カスタム名詞
Yoghurt,Yoghurt,ヨーガート,カスタム名詞
Yodel,Yodel,ヨーデル,カスタム名詞
Yo,Yo,ヨウ,カスタム名詞
Ymodem,Ymodem,ワイモデム,カスタム名詞
Yips,Yips,イップス,カスタム名詞
Yippie,Yippie,イッピー,カスタム名詞
Yike,Yike,ヤイク,カスタム名詞
